destination_order,sort_order,url,alt,caption
1,1,images/singapore/01.jpg,Marina Bay skyline at dusk,Where the bay meets the sky
1,2,images/singapore/02.jpg,Gardens by the Bay Supertrees,Trees that glow at night
1,3,images/singapore/03.jpg,Hawker centre food spread,A table worth the queue
1,4,images/singapore/04.jpg,Chinatown shophouses,Colors on every corner
1,5,images/singapore/05.jpg,Merlion fountain,The icon everyone finds first
1,6,images/singapore/06.jpg,Little India street,Spices in the air
1,7,images/singapore/07.jpg,Sentosa beach sunset,Golden hour by the shore
1,8,images/singapore/08.jpg,Haji Lane murals,Walls that tell stories
1,9,images/singapore/09.jpg,Night market lights,The city that never sleeps early
1,10,images/singapore/10.jpg,Botanic Gardens path,Green in the middle of glass
1,11,images/singapore/11.jpg,Kampong Glam mosque,Gold dome quiet heart
1,12,images/singapore/12.jpg,MRT station architecture,Underground always on time
1,13,images/singapore/13.jpg,Satay by the river,Smoke and peanut sauce
1,14,images/singapore/14.jpg,Jewel Changi waterfall,Rain indoors on purpose
1,15,images/singapore/15.jpg,East Coast Park cycling,Wind in your hair
1,16,images/singapore/16.jpg,Clarke Quay at night,Neon reflected on water
1,17,images/singapore/17.jpg,MacRitchie treetop walk,Above the canopy
1,18,images/singapore/18.jpg,Kaya toast breakfast,Soft eggs strong kopi
